TYPE,NAME,LOCI,MTHD,ORDR,LLIK_TREE,LLIK_NMIG,DIST
cov,case_study,10,treemix,34,58.2269023382,104.742330072,0
cov,case_study,10,treemix,35,58.2269023382,104.742330072,0
cov,case_study,10,treemix,36,58.2269023382,104.742330072,0
cov,case_study,10,treemix,37,58.2269023382,104.742330072,0
cov,case_study,10,treemix,38,58.2269023382,104.742330072,0
cov,case_study,10,treemix,39,58.2269023382,104.742330072,0
cov,case_study,10,treemix,3,58.2269023382,104.742330072,0
cov,case_study,10,treemix,40,58.2269023382,104.742330072,0
cov,case_study,10,treemix,41,58.2269023382,104.742330072,0
cov,case_study,10,treemix,42,58.2269023382,104.742330072,0
cov,case_study,10,treemix,43,58.2269023382,104.742330072,0
cov,case_study,10,treemix,44,58.2269023382,104.742330072,0
cov,case_study,10,treemix,45,58.2269023382,104.742330072,0
cov,case_study,10,treemix,46,58.2269023382,104.742330072,0
cov,case_study,10,treemix,47,58.2269023382,104.742330072,0
cov,case_study,10,treemix,48,58.2269023382,104.742330072,0
cov,case_study,10,treemix,49,58.2269023382,104.742330072,0
cov,case_study,10,treemix,4,58.2269023382,104.742330072,0
cov,case_study,10,treemix,50,58.2269023382,104.742330072,0
cov,case_study,10,treemix,51,58.2269023382,104.742330072,0
cov,case_study,10,treemix,52,58.2269023382,104.742330072,0
cov,case_study,10,treemix,53,58.2269023382,104.742330072,0
cov,case_study,10,treemix,54,58.2269023382,104.742330072,0
cov,case_study,10,treemix,55,58.2269023382,104.742330072,0
cov,case_study,10,treemix,56,58.2269023382,104.742330072,0
cov,case_study,10,treemix,57,58.2269023382,104.742330072,0
cov,case_study,10,treemix,58,58.2269023382,104.742330072,0
cov,case_study,10,treemix,59,58.2269023382,104.742330072,0
cov,case_study,10,treemix,5,58.2269023382,104.742330072,0
cov,case_study,10,treemix,60,58.2269023382,104.742330072,0
cov,case_study,10,treemix,61,58.2269023382,104.742330072,0
cov,case_study,10,treemix,62,58.2269023382,104.742330072,0
