TYPE,NAME,LOCI,MTHD,ORDR,LLIK_TREE,LLIK_NMIG,DIST
cov,lipson2020_fig5a,10,treemix-mlno,63,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,64,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,65,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,66,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,67,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,68,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,69,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,6,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,70,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,71,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,72,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,73,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,74,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,75,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,76,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,77,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,78,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,79,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,7,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,80,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,81,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,82,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,83,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,84,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,85,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,86,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,87,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,88,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,89,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,8,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,90,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,91,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,92,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,93,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,94,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,95,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,96,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,97,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,98,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,99,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,9,108.024218316,109.086948474,4
cov,lipson2020_fig5a,50,treemix,100,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,101,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,102,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,103,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,104,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,105,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,106,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,107,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,108,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,109,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,10,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,110,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,111,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,112,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,113,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,114,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,115,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,116,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,117,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,118,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,119,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,11,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,120,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,12,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,13,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,14,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,15,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,16,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,17,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,18,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,19,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,1,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,20,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,21,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,22,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,23,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,24,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,25,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,26,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,27,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,28,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,29,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,2,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,30,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,31,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,32,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,33,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,34,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,35,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,36,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,37,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,38,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,39,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,3,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,40,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,41,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,42,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,43,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,44,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,45,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,46,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,47,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,48,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,49,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,4,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,50,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,51,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,52,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,53,120.56042911,121.172179823,6
cov,lipson2020_fig5a,50,treemix,54,120.56042911,121.172179823,6
